ChildMortalityID,CountryKey,DateID,genderID,HealthCoverageDataID,HungerKey,PovertyDataID,SuicideKey,PopulationID,HungerKey,PovertyDataID,ChildMortality,MortalityRate
314,29,39,3,322,53,63,341,28,53,63,9302.0,0.0499765998620684
315,29,39,3,322,53,63,342,28,53,63,9302.0,0.0499765998620684
316,29,39,3,322,54,59,340,28,54,59,9302.0,0.0499765998620684
317,29,39,3,322,54,59,341,28,54,59,9302.0,0.0499765998620684
318,29,39,3,322,54,59,342,28,54,59,9302.0,0.0499765998620684
319,29,39,3,322,54,60,340,28,54,60,9302.0,0.0499765998620684
320,29,39,3,322,54,60,341,28,54,60,9302.0,0.0499765998620684
321,29,39,3,322,54,60,342,28,54,60,9302.0,0.0499765998620684
322,29,39,3,322,54,61,340,28,54,61,9302.0,0.0499765998620684
323,29,39,3,322,54,61,341,28,54,61,9302.0,0.0499765998620684
324,29,39,3,322,54,61,342,28,54,61,9302.0,0.0499765998620684
325,29,39,3,322,54,62,340,28,54,62,9302.0,0.0499765998620684
326,29,39,3,322,54,62,341,28,54,62,9302.0,0.0499765998620684
327,29,39,3,322,54,62,342,28,54,62,9302.0,0.0499765998620684
328,29,39,3,322,54,63,340,28,54,63,9302.0,0.0499765998620684
329,29,39,3,322,54,63,341,28,54,63,9302.0,0.0499765998620684
330,29,39,3,322,54,63,342,28,54,63,9302.0,0.0499765998620684
331,29,39,3,322,55,59,340,28,55,59,9302.0,0.0499765998620684
332,29,39,3,322,55,59,341,28,55,59,9302.0,0.0499765998620684
333,29,39,3,322,55,59,342,28,55,59,9302.0,0.0499765998620684
334,29,39,3,322,55,60,340,28,55,60,9302.0,0.0499765998620684
335,29,39,3,322,55,60,341,28,55,60,9302.0,0.0499765998620684
336,29,39,3,322,55,60,342,28,55,60,9302.0,0.0499765998620684
337,29,39,3,322,55,61,340,28,55,61,9302.0,0.0499765998620684
338,29,39,3,322,55,61,341,28,55,61,9302.0,0.0499765998620684
339,29,39,3,322,55,61,342,28,55,61,9302.0,0.0499765998620684
340,29,39,3,322,55,62,340,28,55,62,9302.0,0.0499765998620684
341,29,39,3,322,55,62,341,28,55,62,9302.0,0.0499765998620684
342,29,39,3,322,55,62,342,28,55,62,9302.0,0.0499765998620684
343,29,39,3,322,55,63,340,28,55,63,9302.0,0.0499765998620684
344,29,39,3,322,55,63,341,28,55,63,9302.0,0.0499765998620684
345,29,39,3,322,55,63,342,28,55,63,9302.0,0.0499765998620684
346,29,39,3,322,56,59,340,28,56,59,9302.0,0.0499765998620684
347,29,39,3,322,56,59,341,28,56,59,9302.0,0.0499765998620684
348,29,39,3,322,56,59,342,28,56,59,9302.0,0.0499765998620684
349,29,39,3,322,56,60,340,28,56,60,9302.0,0.0499765998620684
350,29,39,3,322,56,60,341,28,56,60,9302.0,0.0499765998620684
351,29,39,3,322,56,60,342,28,56,60,9302.0,0.0499765998620684
